Agency Name,City,State,Program Started,Cameras Deployed,Program Status,Total Officers,Patrol Officers,# Cameras Purchased,# Cameras Deployed,Policy Link,Camera Supplier,Footage subject to open records law?,Notes on disclosure,Contract link,Cost,Notes on Cost,Related Link 1,Related Link 2,Related Link 3,Source,Entered By,Notes,
BELL GARDENS POLICE DEPT,Bell Gardens,CA,,,,,,,,,,,,,,,,,,BJS,,,
BISHOP POLICE DEPT,Bishop,CA,,,,,,,,,,,,,,,,,,BJS,,,
CALEXICO POLICE DEPT,Calexico,CA,,,,,,,,,,,,,,,,,,BJS,,,
CAMPBELL POLICE DEPT,Campbell,CA,,,,,,,,,,,,,,,,,,BJS,,,
CHINO POLICE DEPT,Chino,CA,,,,,,,,,,,,,,,,,,BJS,,,
CONTRA COSTA COUNTY SHERIFFS OFFICE,Martinez,CA,,,,,,,,,,,,,,,,,,BJS,,,
DELANO POLICE DEPT,Delano,CA,,,,,,,,,,,,,,,,,,BJS,,,
DOWNEY POLICE DEPT,Downey,CA,,,,,,,,,,,,,,,,,,BJS,,,
EL SEGUNDO POLICE DEPT,El Segundo,CA,,,,,,,,,,,,,,,,,,BJS,,,
FOLSOM POLICE DEPT,Folsom,CA,,,,,,,,,,,,,,,,,,BJS,,,
GROVER BEACH POLICE DEPT,Grover Beach,CA,,,,,,,,,,,,,,,,,,BJS,,,
HERMOSA BEACH POLICE DEPT,Hermosa Beach,CA,,,,,,,,,,,,,,,,,,BJS,,,
IMPERIAL POLICE DEPT,Imperial,CA,,,,,,,,,,,,,,,,,,BJS,,,
LA MESA POLICE DEPT,La Mesa,CA,,,,,,,,,,,,,,,,,,BJS,,,
LEMOORE POLICE DEPT,Lemoore,CA,,,,,,,,,,,,,,,,,,BJS,,,
MANHATTAN BEACH POLICE DEPT,Manhattan Beach,CA,,,,,,,,,,,,,,,,,,BJS,,,
MARYSVILLE POLICE DEPT,Marysville,CA,,,,,,,,,,,,,,,,,,BJS,,,
MERCED POLICE DEPT,Merced,CA,,,,,,,,,,,,,,,,,,BJS,,,
MODESTO POLICE DEPT,Modesto,CA,,,,,,,,,,,,,,,,,,BJS,,,
MONROVIA POLICE DEPT,Monrovia,CA,,,,,,,,,,,,,,,,,,BJS,,,
OAKLAND POLICE DEPT,Oakland,CA,,,,,,,,,,,,,,,,,,BJS,,,
ONTARIO POLICE DEPT,Ontario,CA,,,,,,,,,,,,,,,,,,BJS,,,
PALM SPRINGS POLICE DEPT,Palm Springs,CA,,,,,,,,,,,,,,,,,,BJS,,,
PLEASANTON POLICE DEPT,Pleasanton,CA,,,,,,,,,,,,,,,,,,BJS,,,
RIALTO POLICE DEPT,Rialto,CA,,,,,,,,,,,,,,,,,,BJS,,,
RIVERSIDE COUNTY SHERIFFS DEPT,Riverside,CA,,,,,,,,,,,,,,,,,,BJS,,,
SAN BERNARDINO COUNTY SHERIFFS DEPT,San Bernardino,CA,,,,,,,,,,,,,,,,,,BJS,,,
SAN LUIS OBISPO POLICE DEPT,San Luis Obispo,CA,,,,,,,,,,,,,,,,,,BJS,,,
SAN MATEO COUNTY SHERIFFS DEPT,Redwood City,CA,,,,,,,,,,,,,,,,,,BJS,,,
SAN RAMON POLICE DEPT,San Ramon,CA,,,,,,,,,,,,,,,,,,BJS,,,
SANTA BARBARA COUNTY SHERIFFS DEPT,Santa Barbara,CA,,,,,,,,,,,,,,,,,,BJS,,,
SANTA BARBARA POLICE DEPT,Santa Barbara,CA,,,,,,,,,,,,,,,,,,BJS,,,
SANTA MARIA POLICE DEPT,Santa Maria,CA,,,,,,,,,,,,,,,,,,BJS,,,
SANTA ROSA POLICE DEPT,Santa Rosa,CA,,,,,,,,,,,,,,,,,,BJS,,,
SUISUN CITY POLICE DEPT,Suisun City,CA,,,,,,,,,,,,,,,,,,BJS,,,
SUTTER COUNTY SHERIFFS DEPT,Yuba City,CA,,,,,,,,,,,,,,,,,,BJS,,,
VENTURA COUNTY SHERIFFS DEPT,Ventura,CA,,,,,,,,,,,,,,,,,,BJS,,,
YREKA POLICE DEPT,Yreka,CA,,,,,,,,,,,,,,,,,,BJS,,,
Los Angeles Police Department,Los Angeles,CA,,,,,,860,,Los Angeles,Taser International,,,,,,http://www.latimes.com/local/cityhall/la-me-lapd-body-camera-contract-20160119-story.html,http://www.reuters.com/article/us-usa-police-bodycameras-idUSKCN0R020W20150831,http://www.latimes.com/local/lanow/la-me-ln-lapd-body-cameras-20160318-story.html,News reports,Rachel Alexander,,
San Jose Police Department,San Jose,CA,,,,,,15,,San Jose,,,,,,,,,,Campaign Zero,Rachel Alexander,,
Austin Housing Patrol,Chino Hills,CA,,,PROPOSED,,,,,,,,,,,,,,,http://www.bodycameradonations.com/agencies/,Rachel Alexander,Seeking donations to fund program,
Long Beach Police Department,Long Beach,CA,,,ACTIVE,,,,,,Utility,,,,,,http://www.sfexaminer.com/sfpd-body-camera-contract-questioned-by-losing-bidder/,,,News reports,Rachel Alexander,,
Sacramento Police Department,Sacramento,CA,,,PILOT,,,,,,Utility,,,,,,http://www.sfexaminer.com/sfpd-body-camera-contract-questioned-by-losing-bidder/,,,News reports,Rachel Alexander,,
San Francisco Police Department,San Francisco,CA,2/1/2016,,PROPOSED,,,"1,800",,,Taser International,,,,$2.4 million,Total funding requested by SFPD for program.,http://www.sfexaminer.com/sfpd-body-camera-contract-questioned-by-losing-bidder/,,,News reports,Rachel Alexander,,
San Diego Police Department,San Diego,CA,,2015,,,,871,,San Diego,,,,,,,http://www.sandiegouniontribune.com/news/2015/sep/08/sdpd-body-cameras-use-of-force-complaints/,http://www.voiceofsandiego.org/topics/public-safety/watchdog-group-urges-sheriff-to-tweak-new-body-camera-policies/,,News reports,Rachel Alexander,Looks like they may be on a second pilot? Worth clarifying.,
Berkely Police Department,Berkely,CA,1/1/2015,,PROPOSED,,,,,,,,,,,,http://www.contracostatimes.com/breaking-news/ci_29450610/berkeley-prepares-rules-police-body-cams,,,News reports,Rachel Alexander,,
ESCONDIDO POLICE DEPT,Escondido,CA,,,ACTIVE,,,,,,Taser International,,,,,,http://www.sandiegouniontribune.com/news/2016/feb/01/prosecutors-police-body-worn-camera-video/,,,News reports,Rachel Alexander,,
Davis Police Department,Davis,CA,,4/1/2016,PROPOSED,,,,,,,,,,,,http://www.davisenterprise.com/local-news/crime-fire-courts/davis-police-roll-out-body-camera-program/,,,News reports,Rachel Alexander,,
Piedmont Police Department,Piedmont,CA,,2015,PILOT,,,,3,,,,,,,,http://abc3340.com/news/local/piedmont-police-chief-says-body-cameras-havent-been-working,,,News reports,Rachel Alexander,Chief Freddie Norton said cameras have not been working well.,
San Diego County Sheriff's Office,San Diego,CA,8/1/2014,2/1/2016,PILOT,,,,,,,,,,,,http://www.voiceofsandiego.org/topics/public-safety/watchdog-group-urges-sheriff-to-tweak-new-body-camera-policies/,,,News reports,Rachel Alexander,90 day initial pilot testing cameras from 3 manufacturers,
El Cerrito Police Department,El Cerrito,CA,,,PROPOSED,,24,,,,,,,,,,http://www.contracostatimes.com/el-cerrito/ci_29460468/el-cerrito-police-discuss-use-body-cameras-at,,,News reports,Rachel Alexander,,
Chula Vista Police Department,Chula Vista,CA,,,ACTIVE,,,,,,,,,,,,http://www.sandiegouniontribune.com/news/2016/feb/01/prosecutors-police-body-worn-camera-video/,,,News reports,Rachel Alexander,,
Coronado Police Department,Coronado,CA,,,ACTIVE,,,,,,,,,,,,http://www.sandiegouniontribune.com/news/2016/feb/01/prosecutors-police-body-worn-camera-video/,,,News reports,Rachel Alexander,,
Southwestern College,Chula Vista,CA,,,ACTIVE,,,,,,,,,,,,http://www.sandiegouniontribune.com/news/2016/feb/01/prosecutors-police-body-worn-camera-video/,,,News reports,Rachel Alexander,,
San Diego Metropolitan Transit System,San Diego,CA,,,ACTIVE,,,,,,,,,,,,http://www.sandiegouniontribune.com/news/2016/feb/01/prosecutors-police-body-worn-camera-video/,,,News reports,Rachel Alexander,,
ALAMOSA COUNTY SHERIFFS OFFICE,Alamosa,CO,,,,,,,,,,,,,,,,,,BJS,,,
AURORA POLICE DEPT,Aurora,CO,,,,,,,,,,,,,,,,,,BJS,,,
BOULDER POLICE DEPT,Boulder,CO,,,,,,,,,,,,,,,,,,BJS,,,
CENTER POLICE DEPT,Center,CO,,,,,,,,,,,,,,,,,,BJS,,,
DACONO POLICE DEPT,Dacono,CO,,,,,,,,,,,,,,,,,,BJS,,,
EL PASO COUNTY SHERIFFS OFFICE,Colorado Springs,CO,,,,,,,,,,,,,,,,,,BJS,,,
FORT COLLINS POLICE DEPT,Fort Collins,CO,,,,,,,,,,,,,,,,,,BJS,,,
LOGAN COUNTY SHERIFFS DEPT,Sterling,CO,,,,,,,,,,,,,,,,,,BJS,,,
LONE TREE POLICE DEPT,Lone Tree,CO,,,,,,,,,,,,,,,,,,BJS,,,
PUEBLO COUNTY SHERIFFS OFFICE,Pueblo,CO,,,,,,,,,,,,,,,,,,BJS,,,
WASHINGTON COUNTY SHERIFFS OFFICE,Akron,CO,,,,,,,,,,,,,,,,,,BJS,,,
WELD COUNTY SHERIFFS OFFICE,Greeley,CO,,,,,,,,,,,,,,,,,,BJS,,,
Denver Police Department,Denver,CO,,,,1459,,200,,Denver,,,,,,,,,,Campaign Zero,Rachel Alexander,,
CROMWELL POLICE DEPT,Cromwell,CT,,,,,,,,,,,,,,,,,,BJS,,,
DANBURY POLICE DEPT,Danbury,CT,,,,,,,,,,,,,,,,,,BJS,,,
MILFORD POLICE DEPT,Milford,CT,,,,,,,,,,,,,,,,,,BJS,,,
NAUGATUCK POLICE DEPT,Naugatuck,CT,,,,,,,,,,,,,,,,,,BJS,,,
NORWICH POLICE DEPT,Norwich,CT,,,,,,,,,,,,,,,,,,BJS,,,
WEST HARTFORD POLICE DEPT,West Hartford,CT,,,,,,,,,,,,,,,,,,BJS,,,
Bristol Police Department,Bristol,CT,1/1/2016,,ACTIVE,,,90,,,Taser International,,,,"$300,000","Includes 90 cameras, 90 Tasers, one-year service on cameras and one year of video storage. Additional years projected to cost $70,000 each. Money used came from asset forefeiture.",http://www.centralctcommunications.com/bristolpress/article_407f6968-c6fc-11e5-893b-0f0406ec95c8.html,,,News reports,Rachel Alexander,,
University of Connecticut Police Department,Storrs,CT,,2/1/2016,PILOT,82,,,7,,,,,,,,http://www.courant.com/breaking-news/hc-body-cams-for-uconn-police-0220-20160221-story.html,,,News reports,Rachel Alexander,,
Washington DC Police Department,Washington DC,DC,,,,3100,,400,,Washington DC,,,,,,,,,,Campaign Zero,Rachel Alexander,,
SMYRNA POLICE DEPT,Smyrna,DE,,,,,,,,,,,,,,,,,,BJS,,,
Delaware State Police,Dover,DE,,2/1/2016,PILOT,,,,25,,,,,,,,http://www.delawareonline.com/story/news/crime/2016/02/25/state-police-launch-body-camera-pilot-program/80940820/,,,News reports,Rachel Alexander,,
Wilmington Police Department,Wilmington,DE,,,,,,,,,,,,,,,http://www.delawareonline.com/story/news/2016/01/23/wilmington-police-launch-body-camera-program/79221488/,,,News reports,,,
BAL HARBOUR POLICE DEPT,Bal Harbour,FL,,,,,,,,,,,,,,,,,,BJS,,,
BOYNTON BEACH POLICE DEPT,Boynton Beach,FL,,,,,,,,,,,,,,,,,,BJS,,,
BRADENTON POLICE DEPT,Bradenton,FL,,,,,,,,,,,,,,,,,,BJS,,,
BROOKSVILLE POLICE DEPT,Brooksville,FL,,,,,,,,,,,,,,,,,,BJS,,,
CHIEFLAND POLICE DEPT,Chiefland,FL,,,,,,,,,,,,,,,,,,BJS,,,
COLUMBIA COUNTY SHERIFFS OFFICE,Lake City,FL,,,,,,,,,,,,,,,,,,BJS,,,
DELRAY BEACH POLICE DEPT,Delray Beach,FL,,,,,,,,,,,,,,,,,,BJS,,,
FORT PIERCE POLICE DEPT,Fort Pierce,FL,,,,,,,,,,,,,,,,,,BJS,,,
GADSDEN COUNTY SHERIFFS OFFICE,Quincy,FL,,,,,,,,,,,,,,,,,,BJS,,,
GILCHRIST COUNTY SHERIFFS OFFICE,Trenton,FL,,,,,,,,,,,,,,,,,,BJS,,,
GRETNA POLICE DEPT,Gretna,FL,,,,,,,,,,,,,,,,,,BJS,,,
GULF COUNTY SHERIFFS DEPT,Port Saint Joe,FL,,,,,,,,,,,,,,,,,,BJS,,,
GULFPORT POLICE DEPT,Gulfport,FL,,,,,,,,,,,,,,,,,,BJS,,,
INDIAN RIVER COUNTY SHERIFFS OFFICE,Vero Beach,FL,,,,,,,,,,,,,,,,,,BJS,,,
JUPITER POLICE DEPT,Jupiter,FL,,,,,,,,,,,,,,,,,,BJS,,,
LAKE COUNTY SHERIFFS OFFICE,Tavares,FL,,,,,,,,,,,,,,,,,,BJS,,,
LARGO POLICE DEPT,Largo,FL,,,,,,,,,,,,,,,,,,BJS,,,
LYNN HAVEN POLICE DEPT,Lynn Haven,FL,,,,,,,,,,,,,,,,,,BJS,,,
MANATEE COUNTY SHERIFFS OFFICE,Bradenton,FL,,,,,,,,,,,,,,,,,,BJS,,,
NAPLES POLICE DEPT,Naples,FL,,,,,,,,,,,,,,,,,,BJS,,,
OCALA POLICE DEPT,Ocala,FL,,,,,,,,,,,,,,,,,,BJS,,,
OCEAN RIDGE POLICE DEPT,Ocean Ridge,FL,,,,,,,,,,,,,,,,,,BJS,,,
OKALOOSA COUNTY SHERIFFS OFFICE,Shalimar,FL,,,,,,,,,,,,,,,,,,BJS,,,
PALATKA POLICE DEPT,Palatka,FL,,,,,,,,,,,,,,,,,,BJS,,,
PARKER POLICE DEPT,Parker,FL,,,,,,,,,,,,,,,,,,BJS,,,
SANFORD POLICE DEPT,Sanford,FL,,,,,,,,,,,,,,,,,,BJS,,,
STUART POLICE DEPT,Stuart,FL,,,,,,,,,,,,,,,,,,BJS,,,
TALLAHASSEE POLICE DEPT,Tallahassee,FL,,,,,,,,,,,,,,,,,,BJS,,,
TEMPLE TERRACE POLICE DEPT,Temple Terrace,FL,,,,,,,,,,,,,,,,,,BJS,,,
VOLUSIA COUNTY SHERIFFS DEPT,DeLand,FL,,,,,,,,,,,,,,,,,,BJS,,,
WALTON COUNTY SHERIFFS DEPT,Defuniak Springs,FL,,,,,,,,,,,,,,,,,,BJS,,,
WASHINGTON COUNTY SHERIFFS DEPT,Chipley,FL,,,,,,,,,,,,,,,,,,BJS,,,
Miami Beach Police Department,,FL,9/1/2014,5/1/2015,,,,,,,Taser International,,,,,,http://www.miamiherald.com/news/local/crime/article20291373.html,https://www.google.com/url?q=http://web.miamibeachfl.gov/WorkArea/DownloadAsset.aspx%3Fid%3D80901&sa=U&ved=0ahUKEwjLhdibsMrKAhUE-mMKHaTSAi4QFggFMAA&client=internal-uds-cse&usg=AFQjCNFWdJs0RTI8hn7XSL4hpU5eyBQ2yw,,News reports,Rachel Alexander,,
Miami-Dade County Police Department,Miami,FL,6/1/2015,,PROPOSED,,"1,200","1,500",,,Safariland,,,http://www.miamidade.gov/govaction/legistarfiles/Matters/Y2016/160168.pdf,$5.4 million,"Total value of five-year contract approved March 2016, including purchase of 1,500 cameras. County received $1 million federal grant to offset cost.",http://www.miamiherald.com/news/local/community/miami-dade/article22957272.html,http://www.miamiherald.com/news/local/community/miami-dade/article64842592.html,,News reports,Rachel Alexander,,
Pasco County Sheriff's Office,Dade City,FL,2014,2/1/2015,ACTIVE,,,,,,,,,,,,http://statescoop.com/one-year-fla-county-sheriffs-use-body-cameras-bolster-accountability/,,,News reports,Rachel Alexander,,
ALBANY POLICE DEPT,Albany,GA,,,,,,,,,,,,,,,,,,BJS,,,
ALMA POLICE DEPT,Alma,GA,,,,,,,,,,,,,,,,,,BJS,,,
ARCADE POLICE DEPT,Jefferson,GA,,,,,,,,,,,,,,,,,,BJS,,,
AUBURN POLICE DEPT,Auburn,GA,,,,,,,,,,,,,,,,,,BJS,,,
BAINBRIDGE DEPT OF PUBLIC SFTY,Bainbridge,GA,,,,,,,,,,,,,,,,,,BJS,,,
BALDWIN POLICE DEPT,Baldwin,GA,,,,,,,,,,,,,,,,,,BJS,,,
BARROW COUNTY SHERIFFS OFFICE,Winder,GA,,,,,,,,,,,,,,,,,,BJS,,,
BARTOW COUNTY SHERIFFS OFFICE,Cartersville,GA,,,,,,,,,,,,,,,,,,BJS,,,
BIBB COUNTY SHERIFFS OFFICE,Macon,GA,,,,,,,,,,,,,,,,,,BJS,,,
CARROLL COUNTY SHERIFFS DEPT,Carrollton,GA,,,,,,,,,,,,,,,,,,BJS,,,
CARROLLTON POLICE DEPT,Carrollton,GA,,,,,,,,,,,,,,,,,,BJS,,,
CLIMAX POLICE DEPT,Climax,GA,,,,,,,,,,,,,,,,,,BJS,,,
COOLIDGE POLICE DEPT,Coolidge,GA,,,,,,,,,,,,,,,,,,BJS,,,
DALTON POLICE DEPT,Dalton,GA,,,,,,,,,,,,,,,,,,BJS,,,
DEKALB COUNTY POLICE DEPT,Tucker,GA,,,,,,,,,,,,,,,,,,BJS,,,
DOUGHERTY COUNTY SHERIFFS OFFICE,Albany,GA,,,,,,,,,,,,,,,,,,BJS,,,
EVANS COUNTY SHERIFFS DEPT,Claxton,GA,,,,,,,,,,,,,,,,,,BJS,,,
GAINESVILLE POLICE DEPT,Gainesville,GA,,,,,,,,,,,,,,,,,,BJS,,,
GRADY COUNTY SHERIFFS DEPT,Cairo,GA,,,,,,,,,,,,,,,,,,BJS,,,
HEPHZIBAH POLICE DEPT,Hephzibah,GA,,,,,,,,,,,,,,,,,,BJS,,,
HOUSTON COUNTY SHERIFFS DEPT,Warner Robins,GA,,,,,,,,,,,,,,,,,,BJS,,,
LEE COUNTY SHERIFFS OFFICE,Leesburg,GA,,,,,,,,,,,,,,,,,,BJS,,,
LEESBURG POLICE DEPT,Leesburg,GA,,,,,,,,,,,,,,,,,,BJS,,,
